2391;Ibis Styles Paris Tolbiac Bibliotheque Hotel
2394;Hotel Croce Di Malta
2398;Mercure London Watford Hotel
2399;Mercure Centre Notre Dame Nice Hotel
2407;Hotel Marignan
2410;Kaya Ramada Plaza
2411;Holiday Inn Potts Point - Sydney
2415;Hotel Osuna
2421;Crowne Plaza ZåÙrich
2430;Quality Inn
2431;Novotel Bordeaux Centre
2440;The Hotel Windsor
2444;Holiday Inn Golden Mile
2445;Novotel Melbourne On Collins Hotel
2446;Beachcomber Resort Surfers Paradise
2452;Holiday Inn Macau
2458;Hachimantai Royal Hotel
2464;H10 Villa de la Reina Boutique Hotel
2465;Hotel Eurostars Rey Don Jaime
2471;Hilton Colon Quito
2474;Hotel San Cristobal
2475;Holiday Inn Aberdeen - Exhibition Centre
2483;Chicago Lake Shore Hotel
2484;Hilton Bali Resort
2485;Crowne Plaza Nanjing Hotels & Suites
2488;Hyatt Regency Los Angeles International Airport
2492;The Legacy River Kwai Resort
2494;Best Western Premier Trocadero La Tour Hotel
2499;Parc Hotel Alvisse
2503;Hotel Gem Park Ooty
2509;Gran Meliåà Colon
2510;AC Hotel by Marriott Palacio de Santa Ana
2511;The Park Lane Hong Kong a Pullman Hotel
2518;NH Madrid Ventas
2519;Leonardo Hotel Karlsruhe
2521;Fateh Prakash Palace - Heritage Grand
2522;Holiday Inn Suva
2526;Hotel Francois Premier
2531;Jerusalem Gate Hotel
2532;Best Western Adams Inn
2535;Sofitel Lyon Bellecour Hotel
2537;The Tanjung Benoa Beach Resort Bali
2538;Hotel Bristol
2541;Sina Brufani Hotel
2544;Royal Lanta Resort & Spa
2545;Kyriad Mulhouse Centre
2546;Movenpick Resort Sharm El-Sheikh
2547;Le Faubourg Hotel
2548;Hyatt Regency New Brunswick
2553;Holiday Inn Express Hotel & Suites Scottsdale - Old Town
2556;Santos Hotel
2559;NYLO New York City Hotel
2560;Hilton Blackpool Hotel
2563;The Tuscany - A St Giles Signature Hotel
2566;Tusan Hotel
2570;Martin's Relais
2571;Marco Polo HongKong Hotel
2574;Le Vimarn Cottages & Spa
2578;Hampton Inn Chicago Naperville
2579;Best Western Le Galice
2580;Hotel Arenal Bilbao
2590;Mercure Hotel Raphael Wien
2593;Hotel Erzsebet City Center
2594;Tamarind Village Hotel
2597;Hyatt House Scottsdale Old Town
2601;Bentley Hotel
2605;Best Western Plus Americania Hotel
2606;Pax Opera Hotel
2607;The Fairmont Hotel Vancouver
2608;Holiday Inn Buffalo Downtown
2610;La Griffe Roma - MGallery by Sofitel
2612;Hotel Aro Palace
2616;Jinjiang Hotel
2632;AC Hotel Alcala de Henares
2642;Obelisco Center Suites Hotel
2644;INTER-HOTEL Amarys
2653;The American Colony Hotel - The Leading Hotels of the World
2658;Holiday Inn Sandton
2661;Best Western Roosevelt 
2664;The Langham Melbourne Hotel
